filename,width,height,class,xmin,ymin,xmax,ymax
10341657_1389042744689774_4769308105689942927_n.jpg,716,960,cocacola,78,100,133,124
10341657_1389042744689774_4769308105689942927_n.jpg,716,960,cocacola,412,93,467,118
10341657_1389042744689774_4769308105689942927_n.jpg,716,960,cocacola,475,83,536,114
10341657_1389042744689774_4769308105689942927_n.jpg,716,960,fanta,356,382,399,408
10341657_1389042744689774_4769308105689942927_n.jpg,716,960,sprite,297,367,331,389
10341657_1389042744689774_4769308105689942927_n.jpg,716,960,sprite,422,383,454,402
10341657_1389042744689774_4769308105689942927_n.jpg,716,960,cocacola,581,343,626,362
10341657_1389042744689774_4769308105689942927_n.jpg,716,960,fanta,313,629,345,650
10341657_1389042744689774_4769308105689942927_n.jpg,716,960,fanta,136,642,161,658
10341657_1389042744689774_4769308105689942927_n.jpg,716,960,sprite,192,602,226,627
10341657_1389042744689774_4769308105689942927_n.jpg,716,960,sprite,242,585,276,603
10341657_1389042744689774_4769308105689942927_n.jpg,716,960,sprite,364,584,399,606
10341657_1389042744689774_4769308105689942927_n.jpg,716,960,sprite,425,578,459,600
10341657_1389042744689774_4769308105689942927_n.jpg,716,960,cocacola,482,566,540,590
10341657_1389042744689774_4769308105689942927_n.jpg,716,960,cocacola,555,565,605,588
10341657_1389042744689774_4769308105689942927_n.jpg,716,960,cocacola,101,812,155,832
10341657_1389042744689774_4769308105689942927_n.jpg,716,960,cocacola,275,95,328,118
10341657_1389042744689774_4769308105689942927_n.jpg,716,960,cocacola,342,95,394,120
10341657_1389042744689774_4769308105689942927_n.jpg,716,960,cocacola,552,80,611,111
106164018_983769008719600_4468061357732780031_n.jpg,720,960,dietcoke,360,89,382,177
106164018_983769008719600_4468061357732780031_n.jpg,720,960,dietcoke,441,106,463,209
106164018_983769008719600_4468061357732780031_n.jpg,720,960,bigred,497,114,535,181
106164018_983769008719600_4468061357732780031_n.jpg,720,960,bigred,586,102,628,168
106164018_983769008719600_4468061357732780031_n.jpg,720,960,cocacola,149,130,227,186
106164018_983769008719600_4468061357732780031_n.jpg,720,960,sunkist,233,382,285,412
106164018_983769008719600_4468061357732780031_n.jpg,720,960,sprite,378,404,416,431
106164018_983769008719600_4468061357732780031_n.jpg,720,960,sunkist,596,398,650,425
106164018_983769008719600_4468061357732780031_n.jpg,720,960,ski,134,573,156,611
106164018_983769008719600_4468061357732780031_n.jpg,720,960,yoohoo,449,607,483,664
106164018_983769008719600_4468061357732780031_n.jpg,720,960,aquafina,269,760,319,785
106164018_983769008719600_4468061357732780031_n.jpg,720,960,monster,404,773,445,830
106164018_983769008719600_4468061357732780031_n.jpg,720,960,monster,540,796,585,852
106164018_983769008719600_4468061357732780031_n.jpg,720,960,dietcoke,422,429,466,458
107268410_983768962052938_1316649334831551698_n.jpg,720,960,mountaindew,36,189,113,270
107268410_983768962052938_1316649334831551698_n.jpg,720,960,mountaindew,133,180,205,239
107268410_983768962052938_1316649334831551698_n.jpg,720,960,mountaindew,220,180,282,248
107268410_983768962052938_1316649334831551698_n.jpg,720,960,tropicana,403,208,440,229
